"Stkcd","Date","Month","BM_Raw_lag","BM_Adj_lag","Delta_BM_lag","K_to_ME_lag","BM_Raw_june","BM_Adj_june","Delta_BM_june","K_to_ME_june","same_BM_Raw","same_BM_Adj","same_Delta_BM","same_K_to_ME","diff_BM_Raw","diff_BM_Adj","diff_Delta_BM","diff_K_to_ME"
"000001",2008-08-01,8,0.261760191866272,0.261760191866272,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,0.0199062329238263,0.0199062329238263,0,0
"000001",2008-09-01,9,0.269535247063776,0.269535247063776,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,0.0121311777263228,0.0121311777263228,0,0
"000001",2008-10-01,10,0.363216276873649,0.363216276873649,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,-0.0815498520835504,-0.0815498520835504,0,0
"000001",2008-11-01,11,0.500377905639517,0.500377905639517,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,-0.218711480849418,-0.218711480849418,0,0
"000001",2008-12-01,12,0.465869084604193,0.465869084604193,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,-0.184202659814094,-0.184202659814094,0,0
"000001",2009-01-01,1,0.442723368955993,0.442723368955993,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,-0.161056944165894,-0.161056944165894,0,0
"000001",2009-02-01,2,0.359807823925911,0.359807823925911,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,-0.0781413991358128,-0.0781413991358128,0,0
"000001",2009-03-01,3,0.303490077543817,0.303490077543817,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,-0.0218236527537187,-0.0218236527537187,0,0
"000001",2009-04-01,4,0.262745487466747,0.262745487466747,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,0.0189209373233519,0.0189209373233519,0,0
"000001",2009-05-01,5,0.256627639104835,0.256627639104835,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,0.0250387856852634,0.0250387856852634,0,0
"000001",2009-06-01,6,0.234762503971027,0.234762503971027,0,0,0.281666424790099,0.281666424790099,0,0,FALSE,FALSE,TRUE,TRUE,0.0469039208190716,0.0469039208190716,0,0
"000001",2009-08-01,8,0.20173109937305,0.20173109937305,0,0,0.242040338285735,0.242040338285735,0,0,FALSE,FALSE,TRUE,TRUE,0.0403092389126843,0.0403092389126843,0,0
"000001",2009-09-01,9,0.290341956114016,0.290341956114016,0,0,0.242040338285735,0.242040338285735,0,0,FALSE,FALSE,TRUE,TRUE,-0.0483016178282813,-0.0483016178282813,0,0
"000001",2009-10-01,10,0.263934042050912,0.263934042050912,0,0,0.242040338285735,0.242040338285735,0,0,FALSE,FALSE,TRUE,TRUE,-0.0218937037651772,-0.0218937037651772,0,0
"000001",2009-11-01,11,0.234934171780377,0.234934171780377,0,0,0.242040338285735,0.242040338285735,0,0,FALSE,FALSE,TRUE,TRUE,0.007106166505358,0.007106166505358,0,0
"000001",2009-12-01,12,0.217696627426588,0.217696627426588,0,0,0.242040338285735,0.242040338285735,0,0,FALSE,FALSE,TRUE,TRUE,0.0243437108591465,0.0243437108591465,0,0
"000001",2010-01-01,1,0.216714000067166,0.216714000067166,0,0,0.242040338285735,0.242040338285735,0,0,FALSE,FALSE,TRUE,TRUE,0.0253263382185686,0.0253263382185686,0,0
