"Weight","Factor","mean","t","p","n","lag_used"
"VW","HML_Adj",0.00372426889894909,0.892352416352242,0.373230324552188,210,3
"VW","HML_Raw",0.00328063390571004,0.791244891613347,0.42969811571984,210,3
"VW","HML_Delta",0.00044363499323905,0.746848149833731,0.455994565420347,210,5
"EW","HML_Adj",0.00826361680574742,2.96965071812494,0.00332989894134014,210,2
"EW","HML_Raw",0.0072829443607125,2.66134680287814,0.00838754591213867,210,4
"EW","HML_Delta",0.000980672445034918,2.49389980652339,0.0134101518344659,210,2
