"Weight","term","mean","t","p","n","lag_used"
"WLS","BM_Raw",-0.000149461414675971,-0.0464135047847867,0.963024991160059,210,12
"WLS","Delta_BM",0.0124563736010307,0.868511302999147,0.386110697967421,210,7
"WLS","lnME",-0.00194233761901378,-1.4655786741829,0.144265905683564,210,2
"WLS","MOM12",-0.00597806431237763,-1.2162245461771,0.22527120987144,210,8
"OLS","BM_Raw",-0.000964662492586975,-0.355908152069136,0.722268333363133,210,12
"OLS","Delta_BM",0.0314013736531357,2.34485657067213,0.01997210524421,210,9
"OLS","lnME",-0.0048675432327286,-3.6259578399861,0.000361710723880451,210,5
"OLS","MOM12",-0.008828154213476,-2.05762993460964,0.0408668185995563,210,9
