"Weight","Factor","mean","t","p","n","lag_used","phi_org","months","stocks"
"VW","HML_Delta",0.000410799039745356,1.13939417200256,0.255842970572362,210,2,0.2,210,5351
"EW","HML_Delta",0.00135999054667863,4.49942819100938,1.13026171869673e-05,210,3,0.2,210,5351
"VW","HML_Delta",0.000519431025263848,1.39378671871368,0.164862228344349,210,2,0.3,210,5351
"EW","HML_Delta",0.00140199499005413,4.16089816034132,4.63021734406473e-05,210,3,0.3,210,5351
"VW","HML_Delta",0.000553267428082716,1.33680117531004,0.18274085758883,210,2,0.4,210,5351
"EW","HML_Delta",0.00149500437704843,3.99937010631379,8.81074913938089e-05,210,3,0.4,210,5351
