"term","estimate","se","t","p","lag_used"
"(Intercept)",0.00123559046484437,0.00033020490488603,3.74189010084763,0.000237399684105186,3
"RiskPremium",-0.0145361878287847,0.00496106081047134,-2.93005636981976,0.00377503475815305,3
"SMB",0.0250168378781366,0.011178158362152,2.23801068723813,0.0263012584367426,3
"HML_Std",-0.0283647640279458,0.0151263216583412,-1.87519244060927,0.0621950287721124,3
"RMW",-0.00259732196312585,0.0170973123955661,-0.151914049590591,0.879404858887345,3
"CMA",0.0314664263733584,0.0229233116781193,1.37268239489993,0.171358275468519,3
