"Weight","Factor","mean","t","p","n","lag_used"
"VW","HML_Adj",0.000847152228422107,0.210858370477793,0.833203232826865,210,8
"VW","HML_Raw",-0.000157026928854638,-0.0386038417102649,0.969243088343726,210,10
"VW","HML_Delta",0.00100417915727674,2.27579058671208,0.023872238696178,210,6
"EW","HML_Adj",0.00420568090588135,1.52294537786146,0.12928398514345,210,4
"EW","HML_Raw",0.00308660479892857,1.14161214473882,0.254921564357273,210,5
"EW","HML_Delta",0.00111907610695278,3.31537775481156,0.00107893716706204,210,2
