"Cut","Period","Weight","alpha","t","p","lag_used"
"cut=2012-01","Pre","EW",0.00119917940161816,2.19239676788938,0.0345460912012567,3
"cut=2012-01","Pre","VW",0.000543157345214754,0.390249312885285,0.69853126544915,1
"cut=2012-01","Post","EW",0.00123510341046651,3.41201391876135,0.000812193793086749,4
"cut=2012-01","Post","VW",0.000323132872047095,0.581877407720631,0.561448255843802,12
"cut=2015-01","Pre","EW",0.000665190599031829,1.45171373067355,0.150807813419133,7
"cut=2015-01","Pre","VW",-0.000461754914601719,-0.513599301942941,0.609062323151508,1
"cut=2015-01","Post","EW",0.00158004912083873,3.80055403366653,0.000222256186250729,4
"cut=2015-01","Post","VW",0.000669914756759339,1.06844992769159,0.287328472985744,12
"cut=2018-01","Pre","EW",0.000938479645289852,2.91036402292336,0.00437033108877699,2
"cut=2018-01","Pre","VW",0.000401815018732416,0.502614779736573,0.616239912139094,1
"cut=2018-01","Post","EW",0.00171242991743958,3.3472977251652,0.00118335425156568,3
"cut=2018-01","Post","VW",0.000264015600595247,0.546893007001645,0.585776329847022,0
