"dQ","Freq","share"
"-1",61401,0.0970479873934505
"0",514061,0.812504445326046
"1",53740,0.0849393143845219
"2",2884,0.00455833611248532
"3",511,0.000807666350027739
"4",90,0.000142250433468682
