"Cut","Period","shift_rate","up_rate","down_rate","same_rate"
"cut=2012-01","Pre",0.110163176543942,0.0543972504828383,0.0557659260611038,0.889836823456058
"cut=2012-01","Post",0.196465172067098,0.0946289665390789,0.101836205528019,0.803534827932902
"cut=2015-01","Pre",0.135861721536911,0.0670220297905944,0.068839691746317,0.864138278463089
"cut=2015-01","Post",0.203108307001925,0.0975308514908552,0.105577455511069,0.796891692998075
"cut=2018-01","Pre",0.147443404413066,0.072801260394463,0.0746421440186026,0.852556595586934
"cut=2018-01","Post",0.211547656089916,0.101044520504628,0.110503135585288,0.788452343910084
