"term","estimate","se","t","p","lag_used"
"(Intercept)",0.000920591709442593,0.000371794398779233,2.47607740317042,0.0140975634323909,6
"RiskPremium",-0.0118994887870337,0.00462553677347983,-2.57256387091301,0.010805060446934,6
"SMB",0.0290540980196934,0.0131282606992311,2.21309575467182,0.0279995083313996,6
"HML_Std",-0.0330843394433897,0.0170735158572519,-1.93775785374266,0.0540332336750858,6
"RMW",0.0109926965044674,0.0184790363356941,0.594873904935936,0.55258700807382,6
"CMA",0.040720804593168,0.0257920269988755,1.57881366187091,0.115928131146611,6
