"term","estimate","se","t","p","lag_used"
"(Intercept)",0.00121163521445514,0.00031097661154533,3.89622617737772,0.000132072187565972,3
"RiskPremium",-0.014031942610547,0.00425112595754848,-3.3007590813985,0.00113636673591896,3
"SMB",0.0311773033539047,0.00871149267495086,3.57887040914955,0.000430271333812517,3
"HML_Std",-0.0180427063049073,0.00956233841121721,-1.88685084432298,0.0605868644062029,3
