"Weight","Factor","mean","t","p","n","lag_used"
"VW","HML_Adj",0.00339355776905804,0.813740104859859,0.41671996365435,210,6
"VW","HML_Raw",0.0028741267437942,0.697428975750236,0.486309469547946,210,7
"VW","HML_Delta",0.000519431025263848,1.39378671871368,0.164862228344349,210,2
"EW","HML_Adj",0.00788821799010466,2.46094388750877,0.0146678988653792,210,0
"EW","HML_Raw",0.00648622300005052,2.06247319299597,0.0403991980712348,210,1
"EW","HML_Delta",0.00140199499005413,4.16089816034132,4.63021734406473e-05,210,3
