"Weight","Factor","mean","t","p","n","lag_used"
"VW","HML_Adj",0.00193275693135916,0.428547311990681,0.668694035638258,210,0
"VW","HML_Raw",0.000632558677509247,0.14176034149455,0.887405863389839,210,1
"VW","HML_Delta",0.00130019825384991,2.27605651871355,0.0238560279933713,210,4
"EW","HML_Adj",0.00830947738964104,2.63138575505821,0.0091376118132419,210,1
"EW","HML_Raw",0.00756858501902466,2.43016763066559,0.0159359146592949,210,1
"EW","HML_Delta",0.00074089237061638,2.1413943268521,0.0333997637326501,210,0
