"term","estimate","se","t","p","lag_used"
"(Intercept)",0.0013204349034332,0.000584260654338763,2.26000996922786,0.0248770068425287,2
"RiskPremium",-0.00772359294937099,0.0151367384012359,-0.510254768539856,0.610424633686189,2
"SMB",-0.00136299084734903,0.0216197893894492,-0.0630436690569331,0.949793458620899,2
"HML_Std",-0.0373326162454432,0.0277719389170923,-1.34425674623916,0.180358321688547,2
"RMW",-0.0104254585324735,0.0318946890394702,-0.326871301976697,0.744100363819911,2
"CMA",0.0269034239907891,0.0279812421815321,0.961480688249991,0.337448778320929,2
