"Weight","SizeGrp","Adj_mean","Adj_t","Raw_mean","Raw_t","Delta_mean","Delta_t"
"EW","Big",0.00648512585487866,1.73992829315873,0.0054527298614369,1.43372290409426,0.00103239599344176,3.46706549889327
"EW","Small",0.0103216253833325,4.95773158952469,0.00896868754293323,4.15600839067711,0.00135293784039922,3.4834100017218
"VW","Big",0.0037244580861823,0.842604580744746,0.00253123284948444,0.578733706299829,0.00119322523669787,2.84502968699439
"VW","Small",0.0102549829504428,4.38275585409814,0.00915801028325468,4.03150590085961,0.00109697266718808,3.12122426261058
