"term","mean","t","p","n","lag_used","Weight","Spec"
"BM_Raw",0.00214767797659731,0.691244026936381,0.490179275506348,210,12,"WLS","Full sample"
"Delta_BM",0.0131809730712032,1.00862674411219,0.314319969197578,210,8,"WLS","Full sample"
"lnME",-0.0021169362213344,-1.57172265951555,0.117527517381599,210,2,"WLS","Full sample"
"MOM12",-0.00631905468751151,-1.27426971292633,0.203982894579579,210,8,"WLS","Full sample"
