"term","estimate","se","t","p","lag_used"
"(Intercept)",0.000721450477360734,0.000418434926506012,1.72416409735426,0.0861930732110192,2
"RiskPremium",-0.0130757466249895,0.00782212099559433,-1.67163696807479,0.096129108508489,2
"SMB",0.0411881983997635,0.0168098149150636,2.45024699009945,0.0151184476673479,2
"HML_Std",-0.0252316554532617,0.0200894700611591,-1.25596421291593,0.210565456857204,2
"RMW",0.0211001232057305,0.0212906785472964,0.991049822994479,0.322835287405345,2
"CMA",0.0412329812725512,0.030476834791861,1.35292859491966,0.17757593691142,2
