"alpha","t","p","Weight","phi_org","months","stocks"
0.000414144888774329,0.994540925348741,0.321137788156224,"VW",0.2,210,5351
0.00118587248778734,3.81154391211367,0.000182837185959357,"EW",0.2,210,5351
0.000521077613177674,1.19333367857361,0.234124680583594,"VW",0.3,210,5351
0.00123559046484437,3.74189010084763,0.000237399684105186,"EW",0.3,210,5351
0.000608506012825753,1.26761876953994,0.206379111337311,"VW",0.4,210,5351
0.00133968121109019,3.83623125736394,0.000166526862132408,"EW",0.4,210,5351
