"Group","BM_Adj_mean","BM_Raw_mean","K_to_ME_mean","ME_lag_mean","Ret_mean","n"
1,0.17342508095698,0.14031688494248,0.032880528375166,20069916.648218,0.00567789041267158,126614
2,0.323255346778463,0.268090726873656,0.0551859167992006,10975157.090187,0.0101920900094805,126575
3,0.461628039141314,0.38616710126283,0.0754658627786046,9944351.74105572,0.0123831302995124,126539
4,0.651044347270552,0.549224579509501,0.101736840386565,11523867.9870146,0.0144271298186604,126503
5,1.19314687652979,1.02471291886583,0.160025316592728,26417509.1025847,0.0138721547010818,126456
