"Weight","Factor","mean","t","p","n","lag_used","NW_Mode"
"VW","HML_Delta",0.000519431025263848,1.39035642861966,0.165899481366579,210,3,"fixed_3"
"EW","HML_Delta",0.00140199499005413,4.16089816034132,4.63021734406473e-05,210,3,"fixed_3"
"VW","HML_Delta",0.000519431025263848,1.39378671871368,0.164862228344349,210,2,"auto"
"EW","HML_Delta",0.00140199499005413,4.16089816034132,4.63021734406473e-05,210,3,"auto"
