"term","estimate","se","t","p","lag_used"
"(Intercept)",0.000521077613177674,0.000436657091418485,1.19333367857361,0.234124680583594,2
"RiskPremium",-0.016253481593569,0.00695761798724439,-2.33606984795185,0.0204583885725291,2
"SMB",0.00557615296835468,0.013530746289667,0.412109786775991,0.680691669295406,2
"HML_Std",-0.0434705319653664,0.0196383343289112,-2.21355493991004,0.0279673679067422,2
"RMW",-0.00347262539166459,0.0244381053594987,-0.142098797782408,0.88714220587903,2
"CMA",0.0585334106528699,0.0382716107996192,1.52942114089048,0.127709192829947,2
