"Q_raw","1","2","3","4","5"
1,0.897467894545627,0.0906929723411313,0.00837190200135846,0.00275640924384349,0.000710821868039869
2,0.102563697412601,0.767221015208374,0.119194153663836,0.00974126012245704,0.00127987359273158
3,0,0.142098483471499,0.732959798955263,0.120271220730368,0.00467049684287058
4,0,0,0.139474953163166,0.766052978980736,0.0944720678560983
5,0,0,0,0.101173530714241,0.898826469285759
