"term","estimate","se","t","p","lag_used"
"(Intercept)",0.00101739720105531,0.000380468630208726,2.67406330055952,0.00809508725471376,4
"RiskPremium",-0.00992277886962047,0.00539616094920399,-1.83885895232317,0.0673754749944689,4
"SMB",0.00201107626887369,0.00920959406675475,0.218367525679918,0.827358939209134,4
"HML_Std",0.00261947757897288,0.0141655080365002,0.184919423449077,0.85347416455745,4
