"term","estimate","se","t","p","lag_used"
"(Intercept)",0.000776306077379839,0.000434404734245332,1.7870571294037,0.0754129744586907,7
"RiskPremium",-0.00766908374508282,0.00548047985017537,-1.39934530456077,0.163228162598672,7
"SMB",-0.00276332686131321,0.0161619195472173,-0.170977639954221,0.864410813114846,7
"HML_Std",-0.0190113054099451,0.0211866708034651,-0.897323868686145,0.370603878483064,7
"RMW",-0.00809699936492112,0.0189993804833129,-0.426171757128224,0.670432023816624,7
"CMA",0.0333812881742938,0.02935986766912,1.13696998060395,0.256884575436047,7
