"term","mean","t","p","n","lag_used","Weight","Spec"
"BM_Raw",0.00252229473262219,0.853341911324038,0.394446652138466,210,7,"OLS","Full sample"
"Delta_BM",0.0420301585631176,2.76347297366425,0.00622945986414731,210,9,"OLS","Full sample"
"lnME",-0.00530407314435325,-3.65683463978759,0.000323143971224386,210,6,"OLS","Full sample"
"MOM12",-0.00852125414314242,-2.05779879403526,0.0408504376911113,210,9,"OLS","Full sample"
